LineNum,servo01,servo02,servo03,servo04,servo05,servo06,servo07,servo08,servo09,servo10,servo11,servo12,servo13,servo14,servo15,servo16,servo17,servo18
25,-0,-0.0454763194768036,-0.536975670229729,1.07395134045946,-0.536975670229729,0.0454763194768036,-0,0.0454763194768036,-0.536975670229729,1.07395134045946,-0.536975670229729,-0.0454763194768036,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
26,-0,-0.045513664980301,-0.538351423642424,1.07670284728485,-0.538351423642424,0.045513664980301,-0,0.045513664980301,-0.538351423642424,1.07670284728485,-0.538351423642424,-0.045513664980301,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
27,-0,-0.0455525117806405,-0.539776741682315,1.07955348336463,-0.539776741682315,0.0455525117806405,-0,0.0455525117806405,-0.539776741682315,1.07955348336463,-0.539776741682315,-0.0455525117806405,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
28,-0,-0.045592867407373,-0.541251273929849,1.0825025478597,-0.541251273929849,0.045592867407373,-0,0.045592867407373,-0.541251273929849,1.0825025478597,-0.541251273929849,-0.045592867407373,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
29,-0,-0.0456347397027314,-0.542774661886367,1.08554932377273,-0.542774661886367,0.0456347397027314,-0,0.0456347397027314,-0.542774661886367,1.08554932377273,-0.542774661886367,-0.0456347397027314,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
30,-0,-0.0456781368254984,-0.544346539411301,1.0886930788226,-0.544346539411301,0.0456781368254984,-0,0.0456781368254984,-0.544346539411301,1.0886930788226,-0.544346539411301,-0.0456781368254984,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
31,-0,-0.0457230672550461,-0.545966533160194,1.09193306632039,-0.545966533160194,0.0457230672550461,-0,0.0457230672550461,-0.545966533160194,1.09193306632039,-0.545966533160194,-0.0457230672550461,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
32,-0,-0.0457695397955502,-0.547634263022567,1.09526852604513,-0.547634263022567,0.0457695397955502,-0,0.0457695397955502,-0.547634263022567,1.09526852604513,-0.547634263022567,-0.0457695397955502,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
33,-0,-0.0458175635803842,-0.549349342558633,1.09869868511727,-0.549349342558633,0.0458175635803842,-0,0.0458175635803842,-0.549349342558633,1.09869868511727,-0.549349342558633,-0.0458175635803842,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
34,-0,-0.0458671480766959,-0.551111379433949,1.1022227588679,-0.551111379433949,0.0458671480766959,-0,0.0458671480766959,-0.551111379433949,1.1022227588679,-0.551111379433949,-0.0458671480766959,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
35,-0,-0.0459183030901724,-0.552919975851106,1.10583995170221,-0.552919975851106,0.0459183030901724,-0,0.0459183030901724,-0.552919975851106,1.10583995170221,-0.552919975851106,-0.0459183030901724,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
36,-0,-0.0459710387699968,-0.554774728977615,1.10954945795523,-0.554774728977615,0.0459710387699968,-0,0.0459710387699968,-0.554774728977615,1.10954945795523,-0.554774728977615,-0.0459710387699968,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
37,-0,-0.0460253656140025,-0.556675231369188,1.11335046273838,-0.556675231369188,0.0460253656140025,-0,0.0460253656140025,-0.556675231369188,1.11335046273838,-0.556675231369188,-0.0460253656140025,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
38,-0,-0.0460812944740286,-0.558621071387656,1.11724214277531,-0.558621071387656,0.0460812944740286,-0,0.0460812944740286,-0.558621071387656,1.11724214277531,-0.558621071387656,-0.0460812944740286,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
39,-0,-0.0461388365614836,-0.560611833612834,1.12122366722567,-0.560611833612834,0.0461388365614836,-0,0.0461388365614836,-0.560611833612834,1.12122366722567,-0.560611833612834,-0.0461388365614836,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
40,-0,-0.0461980034531208,-0.562647099247652,1.1252941984953,-0.562647099247652,0.0461980034531208,-0,0.0461980034531208,-0.562647099247652,1.1252941984953,-0.562647099247652,-0.0461980034531208,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
41,-0,-0.046258807097033,-0.564726446515962,1.12945289303192,-0.564726446515962,0.046258807097033,-0,0.046258807097033,-0.564726446515962,1.12945289303192,-0.564726446515962,-0.046258807097033,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
42,-0,-0.0463212598188705,-0.566849451052455,1.13369890210491,-0.566849451052455,0.0463212598188705,-0,0.0463212598188705,-0.566849451052455,1.13369890210491,-0.566849451052455,-0.0463212598188705,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
